tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2716870	Parahaliea maris	Parahaliea	Halieaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2976508	Phialoturbella aquilunata	Phialoturbella	Chaetosphaeriaceae	Chaetosphaeriales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
1674310	Peribacillus cavernae	Peribacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
90244	Oligella ureolytica	Oligella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
204891	Nocardia iowensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1521118	Okibacterium endophyticum	Okibacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
28446	Anaerotignum propionicum	Anaerotignum	Anaerotignaceae	Lachnospirales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
687845	Sphingobacterium ginsenosidimutans	Sphingobacterium	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidota	FCB group	Bacteria			
147645	Paracoccus yeei	Paracoccus	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota		Bacteria			
115786	[Candida] orba	Phaffomyces	Phaffomycetaceae	Phaffomycetales	Saccharomycetes	Ascomycota	Opisthokonta	Eukaryota			
653745	Rheinheimera aquatica	Rheinheimera	Chromatiaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2697657	Micromonospora rubida	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
570279	Terrimonas aquatica	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	FCB group	Bacteria			
1936061	Virgibacillus marseillensis	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2716944	Neoascochyta dactylidis	Neoascochyta	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
453852	Galbibacter orientalis	Galbibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
2067419	Cronbergia amazonensis	Cronbergia	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Terrabacteria group	Bacteria			
549003	Natribacillus halophilus	Natribacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2774015	Pectobacterium quasiaquaticum	Pectobacterium	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
578220	Virgibacillus zhanjiangensis	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
411959	Virgibacillus chiguensis	Virgibacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
361041	Devosia soli	Devosia	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota		Bacteria			
2015348	Burkholderia aenigmatica	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			Burkholderia cepacia complex
508460	Cloacibacillus evryensis	Cloacibacillus	Synergistaceae	Synergistales	Synergistia	Synergistota		Bacteria			
995050	Desulfobaculum xiamenense	Desulfobaculum	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota		Bacteria			
1448266	Corynebacterium tapiri	Corynebacterium	Corynebacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
110937	Rathayibacter festucae	Rathayibacter	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1426	Parageobacillus thermoglucosidasius	Parageobacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2583823	Salidesulfovibrio onnuriiensis	Salidesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota		Bacteria			
1495146	Frondibacter aureus	Frondibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
987	Aquimarina latercula	Aquimarina	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
1229971	Glaciimonas singularis	Glaciimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
49331	Wickerhamiella pararugosa	Wickerhamiella	Trichomonascaceae	Dipodascales	Dipodascomycetes	Ascomycota	Opisthokonta	Eukaryota			
2820710	Psychrosphaera ytuae	Psychrosphaera	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2080751	Clostridium cagae	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
1341696	Rehaibacterium terrae	Rehaibacterium	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
326069	Christiangramia portivictoriae	Christiangramia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
2593957	Chitinophaga vietnamensis	Chitinophaga	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	FCB group	Bacteria			
67283	Streptomyces candidus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2738844	Polaribacter pectinis	Polaribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
2668039	Glaciihabitans arcticus	Glaciihabitans	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1282438	Methylopila oligotropha	Methylopila	Methylopilaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota		Bacteria			
33047	Bartonella vinsonii	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota		Bacteria			
126385	Providencia alcalifaciens	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
59561	Trueperella bernardiae	Trueperella	Actinomycetaceae	Actinomycetales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
68272	Streptomyces sulfonofaciens	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2044885	Azospirillum palustre	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota		Bacteria			
282197	Jannaschia rubra	Jannaschia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota		Bacteria			
433649	Nocardioides marmoribigeumensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
684552	Agrococcus carbonis	Agrococcus	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1194211	Wickerhamomyces subpelliculosus	Wickerhamomyces	Wickerhamomycetaceae	Phaffomycetales	Saccharomycetes	Ascomycota	Opisthokonta	Eukaryota			
2605921	Novakomyces olei	Novakomyces				Ascomycota	Opisthokonta	Eukaryota			
1325931	Oikeobacillus pervagus	Oikeobacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1120994	Anaerosphaera aminiphila	Anaerosphaera	Peptoniphilaceae	Tissierellales	Tissierellia	Bacillota	Terrabacteria group	Bacteria			
2675051	Chitinophaga aurantiaca	Chitinophaga	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	FCB group	Bacteria			
2898423	Flavobacterium salilacus	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
2583532	Martelella lutilitoris	Martelella	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota		Bacteria			
214856	Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	FCB group	Bacteria			
36808	Corynebacterium bovis	Corynebacterium	Corynebacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
157691	Leptotrichia shahii	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota		Bacteria			
2654979	Paenibacillus germinis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1521	Ruminiclostridium cellulolyticum	Ruminiclostridium	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
44012	Ferrimonas balearica	Ferrimonas	Ferrimonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1708542	Wallemia canadensis	Wallemia	Wallemiaceae	Wallemiales	Wallemiomycetes	Basidiomycota	Opisthokonta	Eukaryota			
2689078	Paenibacillus turpanensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1770053	Chitinasiproducens palmae	Chitinasiproducens	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
682667	Nocardia coeliaca	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1006	Marivirga tractuosa	Marivirga	Marivirgaceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
285110	Carboxydocella sporoproducens	Carboxydocella	Clostridiales Family XVI. Incertae Sedis	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
1862094	Paenibacillus tumbae	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
