#seq_name	length	coverage
contig_12	6705	2
contig_11	14217	32
contig_14	10787	233
contig_4	89903	96
contig_6	81766	99
contig_8	115418	95
contig_10	123594	99
contig_25	42728	87
contig_7	252083	91
contig_28	260231	80
contig_16	410988	83
contig_9	413298	85
contig_5	422211	86
contig_30	127471	94
contig_38	20980	92
contig_29	437753	89
contig_15	568272	91
contig_39	205808	92
contig_36	267149	89
contig_2	1016	299
contig_26	12100	72
contig_13	1196	114
contig_52	96538	95
contig_33	676	30
contig_34	1741	6
contig_31	10969	519
contig_37	16792	60
contig_40	9377	9
contig_3	817801	87
contig_45	20004	160
contig_43	15468	443
contig_48	11641	117
contig_49	19984	136
contig_27	672601	88
contig_35	511344	83
contig_42	494005	85
contig_22	598321	77
contig_24	902365	91
contig_50	472372	84
contig_23	1080889	87
contig_46	901654	89
contig_51	1497382	84
