#seq_name	length	coverage
contig_10	1196	114
contig_11	10787	235
contig_12	169045	85
contig_13	1776	43
contig_14	568271	91
contig_15	410986	83
contig_17	598840	77
contig_2	1016	299
contig_23	1080886	87
contig_24	902351	91
contig_25	42728	88
contig_26	1497387	84
contig_27	12163	72
contig_28	672587	88
contig_29	437753	89
contig_3	422211	86
contig_30	260231	81
contig_31	131772	94
contig_33	267140	89
contig_34	17265	63
contig_35	12406	113
contig_36	205784	92
contig_38	15468	444
contig_39	78132	97
contig_4	81150	99
contig_40	648714	87
contig_42	19007	139
contig_43	901943	89
contig_44	11641	117
contig_45	252470	82
contig_46	472372	84
contig_47	25005	242
contig_48	96538	95
contig_49	13892	489
contig_5	252436	91
contig_50	258949	83
contig_6	115418	95
contig_7	536891	86
contig_8	501400	85
